crop_number,SPAM_short_name,SPAM_full_name,FAONAMES,item_code,GROUP
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",734,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",735,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",736,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",737,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",738,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",739,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",740,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",741,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",742,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",743,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",744,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",745,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",746,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",747,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",748,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",749,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",750,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",751,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",752,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",753,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",754,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",755,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",756,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",757,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",758,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",759,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",760,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",761,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",762,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",763,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",764,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",765,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",766,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",767,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",768,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",769,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",770,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",771,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",772,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",822,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",823,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",824,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",825,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",827,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",828,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",829,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",830,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",831,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",832,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",833,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",834,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",835,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",836,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",837,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",838,NA
42,rest,rest of crops,"all individual other crops (eg  spices, tree nuts, other sugar crops, mate, rubber)",839,NA
