TaxonName,CommonName,FleetGearName,bycatch,destruction,TaxonKey,FunctionalGroupDescription,fish_type
Eledone cirrhosa,Horned octopus,Trawl,high,destructive,690684,Cephalopods,demersal
Sardinella aurita,Round sardinella,Seine,high,non-destructive,601043,Small pelagics (<30 cm),pelagic
Makaira nigricans,Atlantic blue marlin,Gillnet,high,non-destructive,600216,Large pelagics (>=90 cm),pelagic
Dicentrarchus labrax,European seabass,Trawl,high,destructive,600063,Large demersals (>=90 cm),demersal
Seriolella brama,Common warehou,Trawl,high,destructive,612918,Medium benthopelagics (30 - 89 cm),demersal
Lamna nasus,Porbeagle,Seine,high,non-destructive,600088,Large sharks (>=90 cm),pelagic
Thunnus obesus,Bigeye tuna,Lines Non-tuna,low,non-destructive,600146,Large pelagics (>=90 cm),pelagic
Salmo salar,Atlantic salmon,Gillnet,high,non-destructive,600236,Large benthopelagics (>=90 cm),pelagic
Cardium edule,Common edible cockle,Other,low,non-destructive,690087,Other demersal invertebrates,demersal
Xiphias gladius,Swordfish,Pole and Line Tuna,low,non-destructive,600226,Large pelagics (>=90 cm),pelagic
Phycis,Gunnels forkbeards,Lines Non-tuna,low,non-destructive,509303,Medium benthopelagics (30 - 89 cm),pelagic
Sarda orientalis,Striped bonito,Gillnet,high,non-destructive,600114,Large pelagics (>=90 cm),pelagic
Stenodus leucichthys,Inconnu,Gillnet,high,non-destructive,602692,Large demersals (>=90 cm),demersal
Lethrinidae,Emperors or scavengers,Gillnet,high,non-destructive,400328,Medium reef assoc. fish (30 - 89 cm),pelagic
Pomatomus saltatrix,Bluefish,Seine,high,non-destructive,600364,Large pelagics (>=90 cm),pelagic
Merluccius senegalensis,Senegalese hake,Trawl,high,destructive,600321,Medium demersals (30 - 89 cm),demersal
Callinectes sapidus,Blue crab,Trap,high,non-destructive,690052,"Lobsters, crabs",demersal
Conger conger,European conger,Lines Non-tuna,low,non-destructive,600301,Large demersals (>=90 cm),demersal
Dentex,Seabreams (Dentex spp),Trawl,high,destructive,500809,Large benthopelagics (>=90 cm),demersal
Lepidorhombus,Megrims,Trawl,high,destructive,503124,Small to medium flatfishes (<90 cm),demersal
Clupeidae,Herrings shads sardines menhadens,Purse seine Non-tuna,low,non-destructive,400043,Small pelagics (<30 cm),pelagic
Starfish and other echinoderms,Starfishes,Other,low,non-destructive,NA,NA,demersal
Aphanopus carbo,Black scabbardfish,Lines Non-tuna,low,non-destructive,600646,Large benthopelagics (>=90 cm),pelagic
Marine animals,Marine animals,Lines Non-tuna,low,non-destructive,NA,NA,pelagic
Pagellus acarne,Axillary seabream,Lines Non-tuna,low,non-destructive,600889,Medium benthopelagics (30 - 89 cm),pelagic
Echinoidea,Sea urchins,Trap,high,non-destructive,290011,Other demersal invertebrates,demersal
Coregonus sardinella,Sardine cisco,Gillnet,high,non-destructive,602678,Medium pelagics (30 - 89 cm),pelagic
Cynoscion nebulosus,Spotted weakfish,Trawl midwater,high,non-destructive,600405,Medium demersals (30 - 89 cm),pelagic
Plectorhinchus gaterinus,Blackspotted rubberlips,Other,low,non-destructive,607703,Medium reef assoc. fish (30 - 89 cm),pelagic
Joturus pichardi,Bobo mullet,Trawl midwater,high,non-destructive,600338,Medium pelagics (30 - 89 cm),pelagic
Myxine glutinosa,Hagfish,Trawl midwater,high,non-destructive,602513,Medium demersals (30 - 89 cm),pelagic
Liza klunzingeri,Klunzingers mullet,Gillnet,high,non-destructive,646376,Small demersals (<30 cm),demersal
Gempylidae,Snake mackerels,Gillnet,high,non-destructive,400414,Large benthopelagics (>=90 cm),pelagic
Scomberomorus lineolatus,Streaked seerfish,Trawl midwater,high,non-destructive,600125,Large pelagics (>=90 cm),pelagic
Sardinella longiceps,Indian oil sardine,Trawl midwater,high,non-destructive,601511,Small pelagics (<30 cm),pelagic
Pleuronectiformes,Flatfishes,Gillnet,high,non-destructive,300061,Small to medium flatfishes (<90 cm),demersal
Salmo salar,Atlantic salmon,Trap,high,non-destructive,600236,Large benthopelagics (>=90 cm),demersal
Sparus aurata,Gilthead seabream,Lines Non-tuna,low,non-destructive,601164,Medium demersals (30 - 89 cm),demersal
Helicolenus dactylopterus dactylopterus,Blackbelly rosefish,Gillnet,high,non-destructive,NA,NA,demersal
Euthynnus affinis,Kawakawa,Pole and Line Tuna,low,non-destructive,600096,Large pelagics (>=90 cm),pelagic
Littorina,Periwinkles,Dredge,high,destructive,590049,Other demersal invertebrates,demersal
Galeocerdo cuvier,Tiger shark,Gillnet,high,non-destructive,600886,Large sharks (>=90 cm),pelagic
Selene setapinnis,Atlantic moonfish,Trawl,high,destructive,600378,Medium demersals (30 - 89 cm),demersal
Macruronus magellanicus,Patagonian grenadier,Trawl midwater,high,non-destructive,600329,Large benthopelagics (>=90 cm),pelagic
Strangomera bentincki,Araucanian herring,Purse seine Non-tuna,low,non-destructive,NA,NA,pelagic
Squatina argentina,Argentine angelshark,Lines Non-tuna,low,non-destructive,600727,Large sharks (>=90 cm),pelagic
Thunnus orientalis,Pacific bluefin tuna,LonglineTuna,high,non-destructive,614290,Large pelagics (>=90 cm),pelagic
Caranx crysos,Blue runner,Gillnet,high,non-destructive,601933,Medium pelagics (30 - 89 cm),pelagic
Scorpaena,Scorpionfish,Trawl,high,destructive,500134,Large reef assoc. fish (>=90 cm),demersal
Paralichthys olivaceus,Bastard halibut,Trawl,high,destructive,601351,Large flatfishes (>=90 cm),demersal
Jasus verreauxi,Green rock lobster,Trawl,high,destructive,NA,NA,demersal
Rastrelliger kanagurta,Indian mackerel,Gillnet,high,non-destructive,600111,Medium pelagics (30 - 89 cm),pelagic
Salvelinus,Char,Lines Non-tuna,low,non-destructive,501410,Large benthopelagics (>=90 cm),pelagic
Pseudotolithus senegalensis,Cassava croaker,Trawl midwater,high,non-destructive,600432,Large demersals (>=90 cm),pelagic
Ilisha africana,West African ilisha,Seine,high,non-destructive,601625,Medium pelagics (30 - 89 cm),pelagic
Oblada melanura,Saddled seabream,Lines Non-tuna,low,non-destructive,600850,Small benthopelagics (<30 cm),pelagic
Sillaginidae,Smelt-whitings,Seine,high,non-destructive,400307,Medium demersals (30 - 89 cm),demersal
Cololabis saira,Pacific saury,Gillnet,high,non-destructive,600303,Medium pelagics (30 - 89 cm),pelagic
Veneridae,Venus clams,Dredge,high,destructive,490060,Other demersal invertebrates,demersal
Oncorhynchus kisutch,Coho salmon,Purse seine Non-tuna,low,non-destructive,600245,Large demersals (>=90 cm),pelagic
Squalidae,Dogfish sharks,Trawl,high,destructive,400013,Large sharks (>=90 cm),demersal
Thunnus thynnus,Atlantic bluefin tuna,Purse seine Tuna,low,non-destructive,600147,Large pelagics (>=90 cm),pelagic
Squatina squatina,Angelshark,Gillnet,high,non-destructive,600736,Large sharks (>=90 cm),pelagic
Oncorhynchus nerka,Sockeye salmon,Gillnet,high,non-destructive,600243,Medium pelagics (30 - 89 cm),pelagic
Lactarius lactarius,False trevally,Seine,high,non-destructive,600363,Medium pelagics (30 - 89 cm),pelagic
Cilus gilberti,Corvina,Trawl midwater,high,non-destructive,626675,Medium demersals (30 - 89 cm),pelagic
Clupea harengus,Atlantic herring,Gillnet,high,non-destructive,600024,Medium pelagics (30 - 89 cm),pelagic
Trisopterus luscus,Pouting,Trawl midwater,high,non-destructive,601367,Medium benthopelagics (30 - 89 cm),pelagic
Galeorhinus galeus,Tope shark,Lines Non-tuna,low,non-destructive,604642,Large sharks (>=90 cm),pelagic
Ammodytes personatus,Pacific sandeel,Trawl,high,destructive,600487,Small demersals (<30 cm),demersal
Crassostrea virginica,American cupped oyster,Dredge,high,destructive,690009,Other demersal invertebrates,demersal
Perciformes,Perch-likes,Gillnet,high,non-destructive,300060,Medium reef assoc. fish (30 - 89 cm),pelagic
Coregonus muksun,Muksun,Trawl midwater,high,non-destructive,612547,Large benthopelagics (>=90 cm),pelagic
Urophycis brasiliensis,Brazilian codling,Trawl,high,destructive,600311,Medium demersals (30 - 89 cm),demersal
Trachurus murphyi,Inca scad,Seine,high,non-destructive,600367,Medium pelagics (30 - 89 cm),pelagic
Haliotis,Abalones,Other,low,non-destructive,590046,Other demersal invertebrates,demersal
Littorina,Periwinkles,Other,low,non-destructive,590049,Other demersal invertebrates,demersal
Istiophorus albicans,Atlantic sailfish,LonglineTuna,high,non-destructive,600078,Large pelagics (>=90 cm),pelagic
Salvelinus malma malma,Dolly varden,Longline Non-tuna,high,non-destructive,602691,Large benthopelagics (>=90 cm),pelagic
Trachinotus,Pompanos,Lines Non-tuna,low,non-destructive,500598,Medium benthopelagics (30 - 89 cm),pelagic
Thaleichthys pacificus,Eulachon,Purse seine Non-tuna,low,non-destructive,600256,Small pelagics (<30 cm),pelagic
Loligo,Common squids,Purse seine Non-tuna,low,non-destructive,590010,Cephalopods,pelagic
Auxis thazard thazard,Frigate tuna,Seine,high,non-destructive,NA,NA,pelagic
Raja montagui,Spotted ray,Trawl,high,destructive,604329,Small to medium rays (<90 cm),demersal
Trachinotus ovatus,Derbio,Gillnet,high,non-destructive,601773,Medium pelagics (30 - 89 cm),pelagic
Pteroscion peli,Boe drum,Trawl,high,destructive,600423,Medium benthopelagics (30 - 89 cm),demersal
Gaidropsarus,Rocklings,Lines Non-tuna,low,non-destructive,500686,Large reef assoc. fish (>=90 cm),pelagic
Ablennes hians,Flat needlefish,Lines Non-tuna,low,non-destructive,600972,Large pelagics (>=90 cm),pelagic
Mugil cephalus,Flathead mullet,Gillnet,high,non-destructive,600785,Large benthopelagics (>=90 cm),pelagic
Priacanthus,Bigeyes,Gillnet,high,non-destructive,500912,Medium reef assoc. fish (30 - 89 cm),pelagic
Scomberoides,Queenfishes,Longline Non-tuna,high,non-destructive,500468,Medium reef assoc. fish (30 - 89 cm),pelagic
Carcharhinidae,Requiem sharks,Gillnet,high,non-destructive,400011,Large sharks (>=90 cm),pelagic
Pleurogrammus azonus,Okhostk atka mackerel,Trawl,high,destructive,600510,Medium demersals (30 - 89 cm),demersal
Megalaspis cordyla,Torpedo scad,Trawl midwater,high,non-destructive,600384,Medium pelagics (30 - 89 cm),pelagic
Sphyraena jello,Pickhandle barracuda,Lines Non-tuna,low,non-destructive,604827,Large reef assoc. fish (>=90 cm),pelagic
Lampris guttatus,Opah,Lines Non-tuna,low,non-destructive,601072,Large bathypelagics (>=90 cm),pelagic
Coryphaenoides rupestris,Roundnose grenadier,Trawl,high,destructive,600332,Large bathypelagics (>=90 cm),demersal
Scomberomorus guttatus,Indo-Pacific king mackerel,Trawl midwater,high,non-destructive,600123,Medium pelagics (30 - 89 cm),pelagic
Auxis,Frigate tuna,Purse seine Non-tuna,low,non-destructive,501163,Medium pelagics (30 - 89 cm),pelagic
Squalus,Dogfishes,Trawl,high,destructive,500107,Large sharks (>=90 cm),demersal
Cynoscion nebulosus,Spotted weakfish,Lines Non-tuna,low,non-destructive,600405,Medium demersals (30 - 89 cm),demersal
Sprattus sprattus,European sprat,Seine,high,non-destructive,601357,Small pelagics (<30 cm),pelagic
Odontesthes regia,Silverside,Gillnet,high,non-destructive,608172,Small pelagics (<30 cm),pelagic
Albula vulpes,Bonefish,Seine,high,non-destructive,600228,Medium reef assoc. fish (30 - 89 cm),pelagic
Eleginus gracilis,Saffron cod,Gillnet,high,non-destructive,600315,Medium demersals (30 - 89 cm),demersal
Atheresthes stomias,Arrowtooth flounder,Trawl,high,destructive,600517,Small to medium flatfishes (<90 cm),demersal
Euthynnus affinis,Kawakawa,LonglineTuna,high,non-destructive,600096,Large pelagics (>=90 cm),pelagic
Anguilliformes,Eels and morays,Lines Non-tuna,low,non-destructive,300026,Large demersals (>=90 cm),demersal
Oncorhynchus tshawytscha,Chinook salmon,Purse seine Non-tuna,low,non-destructive,600244,Large benthopelagics (>=90 cm),pelagic
Polydactylus quadrifilis,Giant African threadfin,Gillnet,high,non-destructive,605002,Large demersals (>=90 cm),demersal
Engraulidae,Anchovies,Trawl midwater,high,non-destructive,400454,Small pelagics (<30 cm),pelagic
Helicolenus dactylopterus dactylopterus,Blackbelly rosefish,Trawl,high,destructive,NA,NA,demersal
Auxis,Frigate tuna,Lines Non-tuna,low,non-destructive,501163,Medium pelagics (30 - 89 cm),pelagic
Pagellus,Pandoras,Lines Non-tuna,low,non-destructive,501145,Medium benthopelagics (30 - 89 cm),pelagic
Menidia menidia,Atlantic silverside,Purse seine Non-tuna,low,non-destructive,600339,Small pelagics (<30 cm),pelagic
Myliobatidae,Eagle and manta rays,Trawl,high,destructive,400022,Large rays (>=90 cm),demersal
Eutrigla gurnardus,Grey gurnard,Trawl,high,destructive,600068,Medium demersals (30 - 89 cm),demersal
Microcosmus sulcatus,Grooved sea squirt,Other,low,non-destructive,690167,Other demersal invertebrates,demersal
Caranx crysos,Blue runner,Seine,high,non-destructive,601933,Medium pelagics (30 - 89 cm),pelagic
Coryphaena hippurus,Common dolphinfish,Trawl,high,destructive,600006,Large pelagics (>=90 cm),demersal
Sardinella longiceps,Indian oil sardine,Trawl,high,destructive,601511,Small pelagics (<30 cm),demersal
Merluccius bilinearis,Silver hake,Trawl,high,destructive,600323,Medium demersals (30 - 89 cm),demersal
Eleginops maclovinus,Patagonian blennie,Trawl,high,destructive,600466,Medium benthopelagics (30 - 89 cm),demersal
Centrophorus squamosus,Leafscale gulper shark,Lines Non-tuna,low,non-destructive,600653,Large sharks (>=90 cm),pelagic
Eleutheronema tetradactylum,Fourfinger threadfin,Seine,high,non-destructive,600340,Large demersals (>=90 cm),demersal
Lamna nasus,Porbeagle,Lines Non-tuna,low,non-destructive,600088,Large sharks (>=90 cm),pelagic
Thunnus atlanticus,Blackfin tuna,Gillnet,high,non-destructive,600144,Large pelagics (>=90 cm),pelagic
Lethrinidae,Emperors or scavengers,Lines Non-tuna,low,non-destructive,400328,Medium reef assoc. fish (30 - 89 cm),pelagic
Thunnus atlanticus,Blackfin tuna,Lines Non-tuna,low,non-destructive,600144,Large pelagics (>=90 cm),pelagic
Trachurus japonicus,Japanese jack mackerel,Trawl midwater,high,non-destructive,600366,Medium demersals (30 - 89 cm),pelagic
Molva molva,Ling,Trawl,high,destructive,600033,Large demersals (>=90 cm),demersal
Spisula solidissima,Atlantic surf clam,Dredge,high,destructive,690033,Other demersal invertebrates,demersal
Boreogadus saida,Polar cod,Trawl midwater,high,non-destructive,600319,Medium demersals (30 - 89 cm),demersal
Stolephorus,Indo-Pacific anchovies,Purse seine Non-tuna,low,non-destructive,507720,Small pelagics (<30 cm),pelagic
Diplodus sargus sargus,White seabream,Trawl,high,destructive,601753,Medium demersals (30 - 89 cm),demersal
Megalaspis cordyla,Torpedo scad,Gillnet,high,non-destructive,600384,Medium pelagics (30 - 89 cm),pelagic
Illex illecebrosus,Northern shortfin squid,Trawl midwater,high,non-destructive,690271,Cephalopods,pelagic
Lithodidae,King crabs,Trawl,high,destructive,490036,"Lobsters, crabs",demersal
Maja squinado,Spinous spider crab,Trap,high,non-destructive,690387,"Lobsters, crabs",demersal
Paphies australis,Pipi wedge clam,Other,low,non-destructive,690688,Other demersal invertebrates,demersal
Isurus oxyrinchus,Shortfin mako,Lines Non-tuna,low,non-destructive,600752,Large sharks (>=90 cm),pelagic
Ethmalosa fimbriata,Bonga shad,Gillnet,high,non-destructive,601594,Medium pelagics (30 - 89 cm),pelagic
Istiophorus albicans,Atlantic sailfish,Lines Non-tuna,low,non-destructive,600078,Large pelagics (>=90 cm),pelagic
Elops lacerta,West African ladyfish,Seine,high,non-destructive,604959,Medium benthopelagics (30 - 89 cm),pelagic
Oncorhynchus keta,Chum salmon,Purse seine Non-tuna,low,non-destructive,600241,Large benthopelagics (>=90 cm),pelagic
Panulirus longipes,Longlegged spiny lobster,Trap,high,non-destructive,690228,"Lobsters, crabs",demersal
Plectorhinchus mediterraneus,Rubberlip grunt,Trawl,high,destructive,600398,Medium demersals (30 - 89 cm),demersal
Brachydeuterus auritus,Bigeye grunt,Lines Non-tuna,low,non-destructive,600400,Small demersals (<30 cm),demersal
Caranx crysos,Blue runner,Trawl midwater,high,non-destructive,601933,Medium pelagics (30 - 89 cm),pelagic
Pseudocaranx dentex,White trevally,Trawl,high,destructive,601002,Large benthopelagics (>=90 cm),demersal
Marine fishes not identified,Finfishes,Lines Non-tuna,low,non-destructive,100039,Medium demersals (30 - 89 cm),demersal
Pentanemus quinquarius,Royal threadfin,Trawl midwater,high,non-destructive,600342,Small demersals (<30 cm),pelagic
Pectinidae,Scallops,Dredge,high,destructive,490055,Other demersal invertebrates,demersal
Palaemon serratus,Common prawn,Trap,high,non-destructive,690090,Shrimps,demersal
Peristediidae,Armored searobins or armored gurnards,Gillnet,high,non-destructive,400581,Medium bathydemersals (30 - 89 cm),demersal
Scomberomorus lineolatus,Streaked seerfish,Trap,high,non-destructive,600125,Large pelagics (>=90 cm),demersal
Atherinidae,Silversides,Trap,high,non-destructive,400218,Small pelagics (<30 cm),demersal
Coregonus,Whitefishes,Trawl midwater,high,non-destructive,506253,Medium pelagics (30 - 89 cm),pelagic
Diplodus,Seabreams and porgies,Trawl midwater,high,non-destructive,500705,Medium benthopelagics (30 - 89 cm),pelagic
Bothidae,Lefteye flounders,Trawl,high,destructive,400439,Small to medium flatfishes (<90 cm),demersal
Scyliorhinus,Lesser catsharks,Lines Non-tuna,low,non-destructive,500814,Large sharks (>=90 cm),pelagic
Dentex macrophthalmus,Large-eye dentex,Trawl,high,destructive,600438,Medium benthopelagics (30 - 89 cm),demersal
Cardium edule,Common edible cockle,Dredge,high,destructive,690087,Other demersal invertebrates,demersal
Dussumieria acuta,Rainbow sardine,Gillnet,high,non-destructive,601453,Small pelagics (<30 cm),pelagic
Dicentrarchus,European/spotted seabass,Lines Non-tuna,low,non-destructive,502682,Large demersals (>=90 cm),demersal
Myxine glutinosa,Hagfish,Purse seine Non-tuna,low,non-destructive,602513,Medium demersals (30 - 89 cm),pelagic
Isurus,Mako sharks,Lines Non-tuna,low,non-destructive,500638,Large sharks (>=90 cm),pelagic
Synodontidae,Lizardfishes,Gillnet,high,non-destructive,400160,Medium demersals (30 - 89 cm),demersal
Lithodidae,King crabs,Gillnet,high,non-destructive,490036,"Lobsters, crabs",demersal
Katsuwonus pelamis,Skipjack tuna,Gillnet,high,non-destructive,600107,Large pelagics (>=90 cm),pelagic
Spondyliosoma cantharus,Black seabream,Lines Non-tuna,low,non-destructive,601356,Medium benthopelagics (30 - 89 cm),pelagic
Epinephelus striatus,Nassau grouper,Lines Non-tuna,low,non-destructive,600018,Large reef assoc. fish (>=90 cm),pelagic
Crassostrea rhizophorae,Mangrove cupped oyster,Dredge,high,destructive,690232,Other demersal invertebrates,demersal
Sardinops sagax,South American pilchard,Seine,high,non-destructive,601477,Medium pelagics (30 - 89 cm),pelagic
Sepia officinalis,Common cuttlefish,Trawl,high,destructive,690085,Cephalopods,demersal
Argentina,Argentines,Trawl,high,destructive,500147,Medium pelagics (30 - 89 cm),demersal
Muraenesox cinereus,Daggertooth pike conger,Lines Non-tuna,low,non-destructive,600298,Large demersals (>=90 cm),demersal
Lateolabrax japonicus,Japanese seaperch,Trawl,high,destructive,604589,Medium reef assoc. fish (30 - 89 cm),demersal
Eleutheronema tetradactylum,Fourfinger threadfin,Trawl,high,destructive,600340,Large demersals (>=90 cm),demersal
Polydactylus quadrifilis,Giant African threadfin,Seine,high,non-destructive,605002,Large demersals (>=90 cm),demersal
Myxinidae,Hagfishes,Gillnet,high,non-destructive,400002,Medium bathydemersals (30 - 89 cm),demersal
Sebastes goodei,Chilipepper,Trawl,high,destructive,603971,Medium demersals (30 - 89 cm),demersal
Starfish and other echinoderms,Starfishes,Dredge,high,destructive,NA,NA,demersal
Caranx hippos,Crevalle jack,Gillnet,high,non-destructive,600071,Large pelagics (>=90 cm),pelagic
Apostichopus japonicus,Japanese sea cucumber,Dredge,high,destructive,690201,Other demersal invertebrates,demersal
Anadara granosa,Blood cockle,Dredge,high,destructive,NA,NA,demersal
Pagellus,Pandoras,Trawl midwater,high,non-destructive,501145,Medium benthopelagics (30 - 89 cm),pelagic
Raja clavata,Thornback ray,Trawl,high,destructive,602059,Large rays (>=90 cm),demersal
Dentex,Seabreams (Dentex spp),Lines Non-tuna,low,non-destructive,500809,Large benthopelagics (>=90 cm),pelagic
Chionoecetes,Pacific snow crabs,Gillnet,high,non-destructive,590065,"Lobsters, crabs",demersal
Cyclopterus lumpus,Lumpsucker,Seine,high,non-destructive,600062,Medium benthopelagics (30 - 89 cm),pelagic
Arripis trutta,Eastern Australian salmon,Lines Non-tuna,low,non-destructive,605048,Medium pelagics (30 - 89 cm),pelagic
Merluccius,Hakes,Trawl midwater,high,non-destructive,500654,Medium bathydemersals (30 - 89 cm),pelagic
Murex,Murex shells,Dredge,high,destructive,590050,Other demersal invertebrates,demersal
Prionotus,Sea robins,Trawl,high,destructive,500495,Large reef assoc. fish (>=90 cm),demersal
Miscellaneous marine crustaceans,Marine crustaceans,Dredge,high,destructive,100047,Shrimps,demersal
Clams cockles arkshells,Clams cockles arkshells,Trap,high,non-destructive,NA,NA,demersal
Sardinella longiceps,Indian oil sardine,Purse seine Non-tuna,low,non-destructive,601511,Small pelagics (<30 cm),pelagic
Menticirrhus littoralis,Gulf kingcroaker,Seine,high,non-destructive,600411,Medium demersals (30 - 89 cm),demersal
Conodon nobilis,Barred grunt,Trawl midwater,high,non-destructive,600401,Small demersals (<30 cm),pelagic
Sebastes,Redfishes,Lines Non-tuna,low,non-destructive,501135,Large reef assoc. fish (>=90 cm),pelagic
Stereolepis gigas,Giant sea-bass,Lines Non-tuna,low,non-destructive,603310,Large demersals (>=90 cm),demersal
Pterygotrigla,Pterygotrigla,Gillnet,high,non-destructive,504943,Medium demersals (30 - 89 cm),demersal
Trichiuridae,Cutlassfishes,Gillnet,high,non-destructive,400415,Large benthopelagics (>=90 cm),pelagic
Gadus macrocephalus,Pacific cod,Lines Non-tuna,low,non-destructive,600308,Large demersals (>=90 cm),demersal
Illex coindetii,Broadtail shortfin squid,Trawl,high,destructive,690059,Cephalopods,demersal
Oblada melanura,Saddled seabream,Trawl midwater,high,non-destructive,600850,Small benthopelagics (<30 cm),pelagic
Cephalopoda,Cephalopods,Gillnet,high,non-destructive,290002,Cephalopods,pelagic
Scomberomorus guttatus,Indo-Pacific king mackerel,Trap,high,non-destructive,600123,Medium pelagics (30 - 89 cm),demersal
Sebastes mentella,Deepwater redfish,Seine,high,non-destructive,600505,Medium bathypelagics (30 - 89 cm),pelagic
Scombroids,Tunas bonitos billfishes,Pole and Line Tuna,low,non-destructive,NA,NA,pelagic
Trachinus draco,Greater weever,Trawl,high,destructive,601363,Medium demersals (30 - 89 cm),demersal
Megalops atlanticus,Tarpon,Pole and Line Tuna,low,non-destructive,601079,Large pelagics (>=90 cm),pelagic
Trigloporus lastoviza,Streaked gurnard,Trawl,high,destructive,605081,Medium demersals (30 - 89 cm),demersal
Pomadasys jubelini,Sompat grunt,Trawl,high,destructive,604708,Medium demersals (30 - 89 cm),demersal
Scaridae,Parrotfishes,Trap,high,non-destructive,400364,Medium reef assoc. fish (30 - 89 cm),demersal
Nematalosa nasus,Blochs gizzard shad,Trawl midwater,high,non-destructive,601616,Small pelagics (<30 cm),pelagic
Cephalopoda,Cephalopods,Lines Non-tuna,low,non-destructive,290002,Cephalopods,pelagic
Somniosus microcephalus,Greenland shark,Lines Non-tuna,low,non-destructive,600138,Large sharks (>=90 cm),pelagic
Molva dypterygia,Blue ling,Lines Non-tuna,low,non-destructive,601383,Large demersals (>=90 cm),demersal
Hemiramphus,Halfbeaks,Lines Non-tuna,low,non-destructive,509289,Medium pelagics (30 - 89 cm),pelagic
Myxine glutinosa,Hagfish,Trawl,high,destructive,602513,Medium demersals (30 - 89 cm),demersal
Merluccius hubbsi,Argentine hake,Trawl,high,destructive,600325,Medium benthopelagics (30 - 89 cm),demersal
Oncorhynchus gorbuscha,Pink salmon,Purse seine Non-tuna,low,non-destructive,600240,Medium demersals (30 - 89 cm),pelagic
Pagellus bogaraveo,Blackspot seabream,Lines Non-tuna,low,non-destructive,600890,Medium benthopelagics (30 - 89 cm),pelagic
Pseudopleuronectes herzensteini,Littlemouth flounder,Gillnet,high,non-destructive,608556,Small to medium flatfishes (<90 cm),demersal
Seriola lalandi,Yellowtail amberjack,Lines Non-tuna,low,non-destructive,600382,Large benthopelagics (>=90 cm),pelagic
Paralichthys olivaceus,Bastard halibut,Lines Non-tuna,low,non-destructive,601351,Large flatfishes (>=90 cm),demersal
Lampris guttatus,Opah,Gillnet,high,non-destructive,601072,Large bathypelagics (>=90 cm),pelagic
Lates calcarifer,Barramundi,Gillnet,high,non-destructive,600346,Large demersals (>=90 cm),demersal
Farfantepenaeus californiensis,Yellowleg shrimp,Trawl,high,destructive,690444,Shrimps,demersal
Clams cockles arkshells,Clams cockles arkshells,Dredge,high,destructive,NA,NA,demersal
Panulirus,Tropical spiny lobsters,Trap,high,non-destructive,590083,"Lobsters, crabs",demersal
Saurida tumbil,Greater lizardfish,Trap,high,non-destructive,606479,Medium demersals (30 - 89 cm),demersal
Synodontidae,Lizardfishes,Trap,high,non-destructive,400160,Medium demersals (30 - 89 cm),demersal
Ruditapes decussatus,Grooved carpet shell,Dredge,high,destructive,690166,Other demersal invertebrates,demersal
Pleuronectes platessa,European plaice,Gillnet,high,non-destructive,601342,Large flatfishes (>=90 cm),demersal
Macrourus berglax,Onion-eye grenadier,Lines Non-tuna,low,non-destructive,600331,Large benthopelagics (>=90 cm),pelagic
Pellona ditchela,Indian pellona,Gillnet,high,non-destructive,601641,Small pelagics (<30 cm),pelagic
Genypterus blacodes,Pink cusk-eel,Trawl,high,destructive,600482,Large bathydemersals (>=90 cm),demersal
Osmeridae,Smelts,Gillnet,high,non-destructive,400080,Small pelagics (<30 cm),pelagic
Sparus aurata,Gilthead seabream,Trawl,high,destructive,601164,Medium demersals (30 - 89 cm),demersal
Ammodytidae,Sand lances,Trawl,high,destructive,400402,Large reef assoc. fish (>=90 cm),demersal
Molva,Lings,Lines Non-tuna,low,non-destructive,501096,Large demersals (>=90 cm),demersal
Stolephorus,Indo-Pacific anchovies,Trawl,high,destructive,507720,Small pelagics (<30 cm),demersal
Thunnus alalunga,Albacore,Trawl midwater,high,non-destructive,600142,Large pelagics (>=90 cm),pelagic
Galeoides decadactylus,Lesser African threadfin,Lines Non-tuna,low,non-destructive,600341,Medium demersals (30 - 89 cm),demersal
Pandalidae,Norther shrimps,Trawl,high,destructive,490046,Shrimps,demersal
Scorpaeniformes,Scorpionfishes and flatheads,Trawl,high,destructive,300059,Medium demersals (30 - 89 cm),demersal
Modiolus,Horse mussels,Dredge,high,destructive,590116,Other demersal invertebrates,demersal
Herklotsichthys quadrimaculatus,Bluestripe herring,Gillnet,high,non-destructive,601494,Small pelagics (<30 cm),pelagic
Centropomus undecimalis,Common snook,Other,low,non-destructive,600345,Large demersals (>=90 cm),demersal
Brevoortia patronus,Gulf menhaden,Purse seine Non-tuna,low,non-destructive,601589,Medium pelagics (30 - 89 cm),pelagic
Merluccius gayi gayi,South Pacific hake,Trawl,high,destructive,600324,Medium bathydemersals (30 - 89 cm),demersal
Scombroids,Tunas bonitos billfishes,Purse seine Tuna,low,non-destructive,NA,NA,pelagic
Squatinidae,Angel sharks,Gillnet,high,non-destructive,400015,Large sharks (>=90 cm),pelagic
Gerres,Silver biddies,Gillnet,high,non-destructive,501055,Small benthopelagics (<30 cm),pelagic
Labrus bergylta,Ballan wrasse,Other,low,non-destructive,600572,Medium reef assoc. fish (30 - 89 cm),pelagic
Pagellus,Pandoras,Trawl,high,destructive,501145,Medium benthopelagics (30 - 89 cm),demersal
Dissostichus mawsoni,Antarctic toothfish,Lines Non-tuna,low,non-destructive,607039,Large benthopelagics (>=90 cm),pelagic
